couunt,hours
0,83.16055555555556
1,43.458888888888886
2,23.20611111111111
3,15.819444444444445
4,10.131388888888889
5,9.363333333333333
6,6.169444444444444
7,4.569444444444445
8,4.510277777777778
9,4.208055555555555
10,3.9455555555555555
11,3.3313888888888887
12,3.026666666666667
13,3.1691666666666665
14,3.419722222222222
15,3.2894444444444444
16,2.943888888888889
17,2.1519444444444447
18,2.1166666666666667
19,2.0425
20,1.9780555555555555
21,1.7872222222222223
22,1.5891666666666666
23,1.3563888888888889
24,1.451111111111111
25,1.4883333333333333
26,1.3355555555555556
27,1.486388888888889
28,1.4761111111111112
29,1.4225
30,1.3419444444444444
31,1.183888888888889
32,1.4275
33,1.2452777777777777
34,1.011388888888889
35,1.0722222222222222
36,1.1722222222222223
37,1.0933333333333333
38,1.2216666666666667
39,1.2761111111111112
40,1.1375
41,0.9016666666666666
42,1.0130555555555556
43,0.8775
44,0.9313888888888889
45,0.9169444444444445
46,0.8938888888888888
47,0.8669444444444444
48,0.7722222222222223
49,0.7747222222222222
50,0.8469444444444445
51,0.7169444444444445
52,0.9013888888888889
53,1.0166666666666666
54,1.16
55,1.0072222222222222
56,1.0358333333333334
57,0.9555555555555556
58,1.1141666666666667
59,0.9536111111111111
60,1.068888888888889
61,1.3783333333333334
62,1.2880555555555555
63,1.3975
64,1.2752777777777777
65,1.313611111111111
66,1.4844444444444445
67,1.6308333333333334
68,1.2333333333333334
69,1.3077777777777777
70,1.238888888888889
71,1.188611111111111
72,1.1966666666666668
73,1.2516666666666667
74,1.3286111111111112
75,1.4430555555555555
76,1.3902777777777777
77,1.268888888888889
78,1.5525
79,1.4172222222222222
80,1.6827777777777777
81,1.4322222222222223
82,1.5438888888888889
83,1.5316666666666667
84,1.5252777777777777
85,1.5875
86,1.5525
87,1.571388888888889
88,1.5266666666666666
89,1.4844444444444445
90,1.1775
91,1.2138888888888888
92,1.068888888888889
93,1.0702777777777779
94,1.0744444444444445
95,1.0138888888888888
96,0.8083333333333333
97,0.7191666666666666
98,0.6944444444444444
99,0.5655555555555556
100,0.4961111111111111
101,0.4686111111111111
102,0.41638888888888886
103,0.4988888888888889
104,0.45055555555555554
